YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,TYPE,FOB_USD,SOY_EQUIVALENT_TONNES
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,2660892,7106.85
2014,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,1162380,3056.43
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,BR NEGOCIOS Y REPRESENTACIONES EIRL,BR NEGOCIOS Y REPRESENTACIONES EIRL,CAMEROON,Soy bean equivalents,87240,228.48
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,IMISER SAC,IMISER SAC,CAMEROON,Soy bean equivalents,40890,119.85
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,INVERSIONES PRESMONT S A C,INVERSIONES PRESMONT S A C,CAMEROON,Soy bean equivalents,43125,117.3
2014,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,INVERSIONES PRESMONT S A C,INVERSIONES PRESMONT S A C,CAMEROON,Soy bean equivalents,150615,389.64
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,MAXIMILIAN INVERSIONES SA,MAXIMILIAN INVERSIONES SA,CAMEROON,Soy bean equivalents,724710,1952.28
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,171138,415.14
2013,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,MULTIOIL S A C,MULTIOIL S A C,CAMEROON,Soy bean equivalents,42750,116.28
2014,BOLIVIA,FRONTERA DESAGUADERO,EMPRESA DE TRANSFORMACION AGROINDU,EMPRESA DE TRANSFORMACION AGROINDU,ROMERO TRADING S A,ROMERO TRADING S A,CAMEROON,Soy bean equivalents,1051875.5,2725.44
2014,BOLIVIA,FRONTERA DESAGUADERO,ETASA,ETASA,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,641924.5,1892.814
2014,BOLIVIA,FRONTERA DESAGUADERO,ETASA,ETASA,LOCK H D M S C R L,LOCK H D M S C R L,CAMEROON,Soy bean equivalents,128925,393.21
2014,BOLIVIA,FRONTERA DESAGUADERO,ETASA,ETASA,ROMERO TRADING S A,ROMERO TRADING S A,CAMEROON,Soy bean equivalents,589386,1741.548
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,249690,532.44
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,AVIKAMAN E I R L,AVIKAMAN E I R L,CAMEROON,Soy bean equivalents,57420,118.32
2013,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,BATTILANA NUTRICION SAC,BATTILANA NUTRICION SAC,CAMEROON,Soy bean equivalents,1459570,3327.24
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,BATTILANA NUTRICION SAC,BATTILANA NUTRICION SAC,CAMEROON,Soy bean equivalents,1330285,2797.86
2013,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,GLOBAL TRADE Y LOGISTIC SAC,GLOBAL TRADE Y LOGISTIC SAC,CAMEROON,Soy bean equivalents,3257771.8,7428.9966
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,GLOBAL TRADE Y LOGISTIC SAC,GLOBAL TRADE Y LOGISTIC SAC,CAMEROON,Soy bean equivalents,6918126.77,14900.15796
2013,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,IMISER SAC,IMISER SAC,CAMEROON,Soy bean equivalents,256855,591.09
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,IMISER SAC,IMISER SAC,CAMEROON,Soy bean equivalents,92115,208.59
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,LOCK HIGAKI DISTRIBUIDORES MAYORIST,LOCK HIGAKI DISTRIBUIDORES MAYORIST,CAMEROON,Soy bean equivalents,124500,269.28
2013,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,MAXIMILIAN INVERSIONES SA,MAXIMILIAN INVERSIONES SA,CAMEROON,Soy bean equivalents,2676845,6093.48
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,MAXIMILIAN INVERSIONES SA,MAXIMILIAN INVERSIONES SA,CAMEROON,Soy bean equivalents,4817256,10162.26
2013,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,641625,1479
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,3004557.5,6537.69
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,NUTRICION GONZALES SAC,NUTRICION GONZALES SAC,CAMEROON,Soy bean equivalents,609507.5,1297.95
2014,BOLIVIA,FRONTERA DESAGUADERO,GRAN ALIMENTO SRL,GRAN ALIMENTO SRL,TRADING SEMILLA S A C,TRADING SEMILLA S A C,CAMEROON,Soy bean equivalents,645250,1479
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,AGERSA S R L,AGERSA S R L,CAMEROON,Soy bean equivalents,136635,419.22
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,AGROANDINA S A,AGROANDINA S A,UNKNOWN COUNTRY,Soy bean equivalents,7185090.8,7873.278
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,AGROANDINA S A,AGROANDINA S A,UNKNOWN COUNTRY,Soy bean equivalents,6276147.21,8120.8218
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,AGROGRAIN LTD,AGROGRAIN,UNKNOWN COUNTRY,Soy bean equivalents,4991960,5338.68
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,AGROGRAIN LTD,AGROGRAIN,UNKNOWN COUNTRY,Soy bean equivalents,220740,288.66
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,AGROGRAIN LTD SUCURSAL URUGUAY,AGROGRAIN,UNKNOWN COUNTRY,Soy bean equivalents,6532697.5,9022.002
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,530256,1300.5
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,645105,1567.74
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,ALICORP S A A,ALICORP S A A,CAMEROON,Soy bean equivalents,368400.5,486.54
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,2184973.5,5847.15
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,5638865,15333.15
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,BATTILANA NUTRICION SAC,BATTILANA NUTRICION SAC,CAMEROON,Soy bean equivalents,1266049,3288.48
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,BATTILANA NUTRICION SAC,BATTILANA NUTRICION SAC,CAMEROON,Soy bean equivalents,1362902.5,3504.21
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,BROOM PANAMA S A,BROOM PANAMA S A,UNKNOWN COUNTRY,Soy bean equivalents,521176.5,704.106
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,CARGILL INC,CARGILL,UNKNOWN COUNTRY,Soy bean equivalents,3337000,4590
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,CONTILATIN DEL PERU SA,CONTILATIN DEL PERU SA,CAMEROON,Soy bean equivalents,8965257.23,19578.186
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,CONTILATIN DEL PERU SA,CONTILATIN DEL PERU SA,CAMEROON,Soy bean equivalents,9179489.36,20729.46
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,CORPORACION DE ALIMENTOS DEL PERU,CORPORACION DE ALIMENTOS DEL PERU,CAMEROON,Soy bean equivalents,113100,295.8
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,CORPORACION DE ALIMENTOS DEL PERU,CORPORACION DE ALIMENTOS DEL PERU,CAMEROON,Soy bean equivalents,572045.5,1565.7
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,CORPORACION DE CEREALES S A C,CORPORACION DE CEREALES S A C,CAMEROON,Soy bean equivalents,66990,207.06
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,EMPRESA COMERCIALIZADORA OLEAGINOSA,EMPRESA COMERCIALIZADORA OLEAGINOSA,CAMEROON,Soy bean equivalents,3831142.5,10441.74
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,EMPRESA COMERCIALIZADORA OLEAGINOSA,EMPRESA COMERCIALIZADORA OLEAGINOSA,CAMEROON,Soy bean equivalents,5206993,14294.79
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,EMPRESA COMERCIAL PERUANA E I R L,EMPRESA COMERCIAL PERUANA E I R L,CAMEROON,Soy bean equivalents,11723324.09,29387.22
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,EMPRESA COMERCIAL PERUANA E I R L,EMPRESA COMERCIAL PERUANA E I R L,CAMEROON,Soy bean equivalents,12730310.87,31359.39
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,GRANELES DEL PERU S A C,GRANELES DEL PERU S A C,CAMEROON,Soy bean equivalents,4957473.07,10034.5254
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,GRANELES DEL PERU S A C,GRANELES DEL PERU S A C,CAMEROON,Soy bean equivalents,5704795.08,12210.012
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,IMISER SAC,IMISER SAC,CAMEROON,Soy bean equivalents,2138338.5,5809.41
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,IMISER SAC,IMISER SAC,CAMEROON,Soy bean equivalents,5172919,14158.11
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,INTEGRACION LUZ SCRL,INTEGRACION LUZ SCRL,CAMEROON,Soy bean equivalents,43500,118.32
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,INVERSIONES COMERCIALES SOL S A C,INVERSIONES COMERCIALES SOL S A C,CAMEROON,Soy bean equivalents,951837,2638.74
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,INVERSIONES HEREIN SAC,INVERSIONES HEREIN SAC,CAMEROON,Soy bean equivalents,56550,147.9
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,INVERSIONES PBT Y F S A C,INVERSIONES PBT Y F S A C,CAMEROON,Soy bean equivalents,256360,709.92
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,INVERSIONES YAZMIL S R L,INVERSIONES YAZMIL S R L,CAMEROON,Soy bean equivalents,24600,61.2
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,LA SEMILLA DE ORO S A C,LA SEMILLA DE ORO S A C,CAMEROON,Soy bean equivalents,18321525.5,49224.69
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,LA SEMILLA DE ORO S A C,LA SEMILLA DE ORO S A C,CAMEROON,Soy bean equivalents,20983455,55875.6
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,LDC TRADING Y SERVICE CO S A,LDC TRADING Y SERVICE CO S A,UNKNOWN COUNTRY,Soy bean equivalents,2604472.5,3572.55
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,LIMAFER Y CIA SRL,LIMAFER Y CIA SRL,CAMEROON,Soy bean equivalents,58725,147.9
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,LIMA TRADER SAC,LIMA TRADER SAC,CAMEROON,Soy bean equivalents,38080,114.24
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MAXIMILIAN INVERSIONES SA,MAXIMILIAN INVERSIONES SA,CAMEROON,Soy bean equivalents,131196,354.96
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MAXIMILIAN INVERSIONES SA,MAXIMILIAN INVERSIONES SA,CAMEROON,Soy bean equivalents,2027730.5,5943.03
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MIMPEXGROUP PERU SAC,MIMPEXGROUP PERU SAC,CAMEROON,Soy bean equivalents,9210795.58,12156.87
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MIMPEXGROUP PERU SAC,MIMPEXGROUP PERU SAC,CAMEROON,Soy bean equivalents,4922313.37,7273.62
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,6623720,17573.07
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,11087636,30178.23
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MONTANA S A,MONTANA S A,CAMEROON,Soy bean equivalents,2009656,4805.22
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MONTANA S A,MONTANA S A,CAMEROON,Soy bean equivalents,1740107.5,4161.6
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MUNDO PECUARIO SAC,MUNDO PECUARIO SAC,CAMEROON,Soy bean equivalents,137982,354.96
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,MUNDO PECUARIO SAC,MUNDO PECUARIO SAC,CAMEROON,Soy bean equivalents,463777,1185.24
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,NOR ALIMENTOS SRL,NOR ALIMENTOS SRL,CAMEROON,Soy bean equivalents,748785,2004.81
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,NOR ALIMENTOS SRL,NOR ALIMENTOS SRL,CAMEROON,Soy bean equivalents,712910,1897.2
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,PERUVIAN SOYBEAN COMPANY S A C,PERUVIAN SOYBEAN COMPANY S A C,CAMEROON,Soy bean equivalents,2799141.5,7413.36
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,PRODUCTOS COSTASOL SAC,PRODUCTOS COSTASOL SAC,CAMEROON,Soy bean equivalents,48720,118.32
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,REPRESENTACIONES MORAVI SAC,REPRESENTACIONES MORAVI SAC,CAMEROON,Soy bean equivalents,608440.5,1658.01
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,REPRESENTACIONES MORAVI SAC,REPRESENTACIONES MORAVI SAC,CAMEROON,Soy bean equivalents,634005,1666.17
2013,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,RIOS SAC,RIOS SAC,CAMEROON,Soy bean equivalents,520004,1360.68
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,RIOS SAC,RIOS SAC,CAMEROON,Soy bean equivalents,444615,1210.74
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,ROMERO TRADING S A,ROMERO TRADING S A,CAMEROON,Soy bean equivalents,1194861,1629.603
2014,BOLIVIA,FRONTERA DESAGUADERO,HUGO SPECHAR GONZALES,HUGO SPECHAR GONZALES,TILIN S A C,TILIN S A C,CAMEROON,Soy bean equivalents,23520,57.12
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,ALICORP S A A,ALICORP S A A,CAMEROON,Soy bean equivalents,1070692.6,2179.6176
2014,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,COLCUN S A,COLCUN S A,UNKNOWN COUNTRY,Soy bean equivalents,4660353.77,6379.6308
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,CORPORACION EL ROSADO S A,CORPORACION EL ROSADO S A,UNKNOWN COUNTRY,Soy bean equivalents,458585.15,298.1868
2014,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,CORPORACION EL ROSADO S A,CORPORACION EL ROSADO S A,UNKNOWN COUNTRY,Soy bean equivalents,141394.93,99.32046
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,GRANJA RINCONADA DEL SUR S A,GRANJA RINCONADA DEL SUR S A,CAMEROON,Soy bean equivalents,1489514.5,3062.55
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,INBALNOR SA,INBALNOR SA,UNKNOWN COUNTRY,Soy bean equivalents,1625070.85,3400.5066
2014,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,INBALNOR SA,INBALNOR SA,UNKNOWN COUNTRY,Soy bean equivalents,5074983.84,9667.4376
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,MESEROLE CORPORATION,MESEROLE CORPORATION,CUBA,Soy bean equivalents,2027288.51,3097.179
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,MESEROLE CORPORATION,MESEROLE CORPORATION,UNKNOWN COUNTRY,Soy bean equivalents,24349814.71,26299.8024
2014,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,MESEROLE CORPORATION,MESEROLE CORPORATION,UNKNOWN COUNTRY,Soy bean equivalents,16002019.04,20169.9492
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,PIERRE MICHEL VINCENT,PIERRE MICHEL VINCENT,UNKNOWN COUNTRY,Soy bean equivalents,46245537.15,51780.2796
2014,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,PIERRE MICHEL VINCENT,PIERRE MICHEL VINCENT,UNKNOWN COUNTRY,Soy bean equivalents,17365402.62,16955.7048
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,ROMERO TRADING S A,ROMERO TRADING S A,CAMEROON,Soy bean equivalents,68311136.31,146977.8486
2014,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,ROMERO TRADING S A,ROMERO TRADING S A,CAMEROON,Soy bean equivalents,66504817.02,142915.3008
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS DE ACEITE S A,INDUSTRIAS DE ACEITE S A,SAN FERNANDO S A,SAN FERNANDO S A,CAMEROON,Soy bean equivalents,439785,1031.22
2014,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS OLEAGINOSAS S A,INDUSTRIAS OLEAGINOSAS S A,AGRO FARM MANAGEMENT CORP,AGRO FARM MANAGEMENT CORP,UNKNOWN COUNTRY,Soy bean equivalents,357842.7,474.0552
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS OLEAGINOSAS S A,INDUSTRIAS OLEAGINOSAS S A,AGROINVERSIONES EIRL,AGROINVERSIONES EIRL,CAMEROON,Soy bean equivalents,31752,85.68
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS OLEAGINOSAS S A,INDUSTRIAS OLEAGINOSAS S A,AGROINVERSIONES OROMAR EIRL,AGROINVERSIONES OROMAR EIRL,CAMEROON,Soy bean equivalents,188065,443.7
2013,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS OLEAGINOSAS S A,INDUSTRIAS OLEAGINOSAS S A,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,149350,354.96
2014,BOLIVIA,FRONTERA DESAGUADERO,INDUSTRIAS OLEAGINOSAS S A,INDUSTRIAS OLEAGINOSAS S A,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,62060,147.9
