YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,PALM_OIL_EQUIVALENT_TONNES
2016,BRAZIL,ALMEIRIM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Palm oil equivalents,65931,66.178947368421
2015,BRAZIL,ALMEIRIM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,2085511,1279.23578947368
2016,BRAZIL,ALMEIRIM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,1226659,827.651578947368
2016,BRAZIL,ALMEIRIM,EMBRAIMPEX EMPRESA BRASILEIRA DE IMPORTACOES E EXPORTACOES L,EMBRAIMPEX EMPRESA BRASILEIRA DE IMPORTACOES E EXPORTACOES L,UNKNOWN,UNKNOWN,FRENCH GUYANA,FRENCH GUYANA,Palm oil equivalents,348,0.168421052631579
2015,BRAZIL,ALMEIRIM,RRIST INDUSTRIA E COMERCIO LTDA,RRIST INDUSTRIA E COMERCIO LTDA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,27578,25.6421052631579
2015,BRAZIL,BARCARENA,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,CARGIL AMERICAS TRADING INC,CARGIL AMERICAS TRADING INC,SPAIN,EUROPEAN UNION,Palm oil equivalents,7720707,13135.044
2015,BRAZIL,BARCARENA,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,CARGILL AMERICAS TRADING INC,CARGILL AMERICAS TRADING INC,MEXICO,MEXICO,Palm oil equivalents,4823136,8005.205
2015,BRAZIL,BARCARENA,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,"PASTERNAK, BAUM & CO. INC","PASTERNAK, BAUM & CO. INC",COLOMBIA,COLOMBIA,Palm oil equivalents,6574865,11392.15
2017,BRAZIL,BARCARENA,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,"PASTERNAK, BAUM & CO., INC.","PASTERNAK, BAUM & CO., INC.",COLOMBIA,COLOMBIA,Palm oil equivalents,13828067,22084.057
2017,BRAZIL,BARCARENA,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,PASTERNAK BAUM E CO. INC.,PASTERNAK BAUM E CO. INC.,COLOMBIA,COLOMBIA,Palm oil equivalents,5268966,9783.07
2015,BRAZIL,BARCARENA,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,THIN OIL PRODUCTSM LLC.,THIN OIL PRODUCTSM LLC.,MEXICO,MEXICO,Palm oil equivalents,3554172,6235.39
2016,BRAZIL,BARCARENA,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,CARE NATURKOSTHANDEL GMGH & CO,CARE NATURKOSTHANDEL GMGH & CO,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,194773,167.28
2015,BRAZIL,BARCARENA,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,CIRANDA INC,CIRANDA INC,UNITED STATES,UNITED STATES,Palm oil equivalents,6343,3.6
2016,BRAZIL,BARCARENA,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,CIRANDA INC,CIRANDA INC,UNITED STATES,UNITED STATES,Palm oil equivalents,13162,7.2
2017,BRAZIL,BARCARENA,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,CIRANDA INC,CIRANDA INC,UNITED STATES,UNITED STATES,Palm oil equivalents,16452,9
2017,BRAZIL,BELEM,AGROPALMA S/A,AGROPALMA S/A,PASTERNAK BAUM & CO INC,PASTERNAK BAUM & CO INC,GERMANY,EUROPEAN UNION,Palm oil equivalents,5203649,7974.941
2017,BRAZIL,BELEM,AGROPALMA S/A,AGROPALMA S/A,WILMAR EUROPE TRADING B.V,WILMAR EUROPE TRADING B.V,GERMANY,EUROPEAN UNION,Palm oil equivalents,10190214,13966.028
2016,BRAZIL,BELEM,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,CARGILL AMERICAS TRADING INC.,CARGILL AMERICAS TRADING INC.,BELGIUM,EUROPEAN UNION,Palm oil equivalents,3526698,7053.395
2015,BRAZIL,BELEM,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,"PASTERNAK, BAUM & CO., INC.","PASTERNAK, BAUM & CO., INC.",COLOMBIA,COLOMBIA,Palm oil equivalents,2731550,6003.406
2015,BRAZIL,BELEM,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,PASTERNAK BAUM E CO. INC.,PASTERNAK BAUM E CO. INC.,COLOMBIA,COLOMBIA,Palm oil equivalents,2685194,6712.985
2017,BRAZIL,BELEM,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,PASTERNAK BAUM E CO. INC.,PASTERNAK BAUM E CO. INC.,COLOMBIA,COLOMBIA,Palm oil equivalents,8463008,13823.262
2017,BRAZIL,BELEM,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,PASTERNAK BAUM E CO. INC.,PASTERNAK BAUM E CO. INC.,MEXICO,MEXICO,Palm oil equivalents,4200033,6051.921
2017,BRAZIL,BELEM,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,PASTERNAK BAUM E CO. INC.,PASTERNAK BAUM E CO. INC.,UNITED STATES,UNITED STATES,Palm oil equivalents,2765324,4982.565
2017,BRAZIL,BELEM,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,THIN OIL PRODUCTS LLC,THIN OIL PRODUCTS LLC,COLOMBIA,COLOMBIA,Palm oil equivalents,5097290,7841.985
2016,BRAZIL,BELEM,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,"THIN OIL PRODUCTS, LLC.","THIN OIL PRODUCTS, LLC.",MEXICO,MEXICO,Palm oil equivalents,4124576,6110.483
2015,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,CARE NATURKOSTHANDEL GMGH & CO,CARE NATURKOSTHANDEL GMGH & CO,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,4047409,3607.343
2016,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,CARE NATURKOSTHANDEL GMGH & CO,CARE NATURKOSTHANDEL GMGH & CO,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,2879679,2490.821
2017,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,CARE NATURKOSTHANDEL GMGH & CO,CARE NATURKOSTHANDEL GMGH & CO,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,2279198,2011.919
2015,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,NUTRISWISSG AG,NUTRISWISSG AG,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,344533,274.01
2016,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,"PASTERNAK, BAUM AND CO, INC.","PASTERNAK, BAUM AND CO, INC.",GERMANY,EUROPEAN UNION,Palm oil equivalents,5106236,9497.997
2015,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Palm oil equivalents,43850,44.0105263157895
2016,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Palm oil equivalents,19620,21.9894736842105
2015,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,563873,259.852631578947
2015,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,WILMAR EUROPE TRADING B.V,WILMAR EUROPE TRADING B.V,GERMANY,EUROPEAN UNION,Palm oil equivalents,33338033,53746.826
2016,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,WILMAR EUROPE TRADING B.V,WILMAR EUROPE TRADING B.V,GERMANY,EUROPEAN UNION,Palm oil equivalents,5507746,7515.106
2015,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,WILMAR EUROPE TRADING B.V,WILMAR EUROPE TRADING B.V,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,11844291,21017.579
2016,BRAZIL,BELEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,WILMAR EUROPE TRADING B.V,WILMAR EUROPE TRADING B.V,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,7894007,12433.092
2017,BRAZIL,CORUMBA,ATACADO FERNANDES DE GENEROS ALIMENTICIOS IMPORTADORA E EXP,ATACADO FERNANDES DE GENEROS ALIMENTICIOS IMPORTADORA E EXP,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,782,0.164210526315789
2015,BRAZIL,CORUMBA,"EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA","EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA",UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,1115,0.252631578947368
2016,BRAZIL,CORUMBA,"EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA","EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA",UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,974,0.253684210526316
2017,BRAZIL,CORUMBA,"EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA","EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA",UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,1857,0.403157894736842
2016,BRAZIL,CORUMBA,IND E COM DE PROD ALIM CEPERA LTDA,IND E COM DE PROD ALIM CEPERA LTDA,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,1610,0.591578947368421
2017,BRAZIL,CORUMBA,IND E COM DE PROD ALIM CEPERA LTDA,IND E COM DE PROD ALIM CEPERA LTDA,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,1461,0.542105263157895
2016,BRAZIL,FOZ DO IGUACU,IND E COM DE PROD ALIM CEPERA LTDA,IND E COM DE PROD ALIM CEPERA LTDA,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Palm oil equivalents,1016,0.256842105263158
2017,BRAZIL,FOZ DO IGUACU,IND E COM DE PROD ALIM CEPERA LTDA,IND E COM DE PROD ALIM CEPERA LTDA,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Palm oil equivalents,4865,1.71368421052632
2015,BRAZIL,FOZ DO IGUACU,TIREX COMERCIO E LOGISTICA LTDA,TIREX COMERCIO E LOGISTICA LTDA,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Palm oil equivalents,429,0.248421052631579
2016,BRAZIL,FOZ DO IGUACU,TIREX COMERCIO E LOGISTICA LTDA,TIREX COMERCIO E LOGISTICA LTDA,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Palm oil equivalents,36,0.0284210526315789
2015,BRAZIL,GUAJARA-MIRIM,COIMBRA IMPORTACAO E EXPORTACAO,COIMBRA IMPORTACAO E EXPORTACAO,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,181,0.0568421052631579
2016,BRAZIL,GUAJARA-MIRIM,COIMBRA IMPORTACAO E EXPORTACAO,COIMBRA IMPORTACAO E EXPORTACAO,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,371,0.108421052631579
2017,BRAZIL,GUAJARA-MIRIM,COIMBRA IMPORTACAO E EXPORTACAO,COIMBRA IMPORTACAO E EXPORTACAO,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,259,0.0631578947368421
2015,BRAZIL,GUAJARA-MIRIM,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,41,0.00736842105263158
2016,BRAZIL,GUAJARA-MIRIM,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,UNKNOWN,UNKNOWN,BOLIVIA,BOLIVIA,Palm oil equivalents,21,0.00210526315789474
2016,BRAZIL,ITAJAI,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,UNKNOWN,UNKNOWN,NEW ZEALAND,NEW ZEALAND,Palm oil equivalents,308,0.1
2017,BRAZIL,ITAJAI,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,UNKNOWN,UNKNOWN,NEW ZEALAND,NEW ZEALAND,Palm oil equivalents,1493,0.457894736842105
2017,BRAZIL,ITAJAI,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,"PEDAGOS DO BRASIL, COMERCIO DE PRODUTOS UNIPESSOAL, LDA","PEDAGOS DO BRASIL, COMERCIO DE PRODUTOS UNIPESSOAL, LDA",PORTUGAL,EUROPEAN UNION,Palm oil equivalents,1434,0.24
2017,BRAZIL,PECEM,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,326316,229.187368421053
2016,BRAZIL,PONTA PORA,ARM IMPORTADORA E EXPORTADORA EIRELI,ARM IMPORTADORA E EXPORTADORA EIRELI,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Palm oil equivalents,997,0.114736842105263
2017,BRAZIL,PONTA PORA,ARM IMPORTADORA E EXPORTADORA EIRELI,ARM IMPORTADORA E EXPORTADORA EIRELI,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Palm oil equivalents,423,0.0336842105263158
2015,BRAZIL,PONTA PORA,EXPORTADORA E IMPORTADORA RIO BRANCO LTDA EPP,EXPORTADORA E IMPORTADORA RIO BRANCO LTDA EPP,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Palm oil equivalents,370,0.0757894736842105
2017,BRAZIL,PONTA PORA,EXPORTADORA E IMPORTADORA RIO BRANCO LTDA EPP,EXPORTADORA E IMPORTADORA RIO BRANCO LTDA EPP,UNKNOWN,UNKNOWN,PARAGUAY,PARAGUAY,Palm oil equivalents,171,0.0252631578947368
2017,BRAZIL,RECIFE,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,UNKNOWN,UNKNOWN,BELGIUM,EUROPEAN UNION,Palm oil equivalents,593,0.101052631578947
2015,BRAZIL,RECIFE,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,UNKNOWN,UNKNOWN,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,5609,1.06105263157895
2016,BRAZIL,RECIFE,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,UNKNOWN,UNKNOWN,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,7955,1.66736842105263
2017,BRAZIL,RECIFE,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,ETTICA COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP,UNKNOWN,UNKNOWN,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,10403,2.07157894736842
2015,BRAZIL,RIO DE JANEIRO,DISTRIBUIDORA INTERNACIONAL DE PRODUTOS BRASILEIROS EIRELI,DISTRIBUIDORA INTERNACIONAL DE PRODUTOS BRASILEIROS EIRELI,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,140,0.0178947368421053
2015,BRAZIL,RIO DE JANEIRO,EFX IMPORTACAO E EXPORTACAO LTDA,EFX IMPORTACAO E EXPORTACAO LTDA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,1225,0.226315789473684
2016,BRAZIL,RIO DE JANEIRO,EFX IMPORTACAO E EXPORTACAO LTDA,EFX IMPORTACAO E EXPORTACAO LTDA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,3306,0.649473684210526
2017,BRAZIL,RIO DE JANEIRO,EFX IMPORTACAO E EXPORTACAO LTDA,EFX IMPORTACAO E EXPORTACAO LTDA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,9341,1.52736842105263
2015,BRAZIL,RIO DE JANEIRO,NIGATA COMERCIO INTERNACIONAL LTDA,NIGATA COMERCIO INTERNACIONAL LTDA,UNKNOWN,UNKNOWN,ANGOLA,ANGOLA,Palm oil equivalents,594,0.261052631578947
2016,BRAZIL,RIO DE JANEIRO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,UNKNOWN,UNKNOWN,PORTUGAL,EUROPEAN UNION,Palm oil equivalents,923,0.113684210526316
2017,BRAZIL,RIO DE JANEIRO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,UNKNOWN,UNKNOWN,PORTUGAL,EUROPEAN UNION,Palm oil equivalents,1384,0.191578947368421
2015,BRAZIL,RIO DE JANEIRO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,TRADEBRAS COMERCIO IMPORTACAO E EXPORTACAO,UNKNOWN,UNKNOWN,UNITED KINGDOM,EUROPEAN UNION,Palm oil equivalents,1477,0.227368421052632
