YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,PALM_KERNEL_EQUIVALENT_TONNES
2018,COLOMBIA,ADUANAS DE BARRANQUI,CARGILL DE COLOMBIA LTDA,CARGILL,CARGILL AMERICAS INC,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,2177675.25,2290.626
2018,COLOMBIA,ADUANAS DE BARRANQUI,CARGILL DE COLOMBIA LTDA,CARGILL,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,8352783.26,9826.619
2018,COLOMBIA,ADUANAS DE BARRANQUI,CARGILL DE COLOMBIA LTDA,CARGILL,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,604006.62,516.189
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,ADM INTERNATIONAL SARL,ADM,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1091332.25,899.86
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,9895200.06,12000.01
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,7000174.53,5037.038
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1903809.69,2332.269
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1053656,751.499
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,436510.38,430.246
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL REFINED OILS EUROPE B V,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,2496595.25,2499.72
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,MEXICO,MEXICO,Palm kernel equivalents,764233.5,1018.978
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,421679.25,514.243
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,LA FABRIL C X A,LA FABRIL C X A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm kernel equivalents,318456.49,255.464
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,385991.84,496.772
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I ACEPALMA S A,C I ACEPALMA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,394692.12,514.076
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,ADM INTERNATIONAL SARL,ADM,GERMANY,EUROPEAN UNION,Palm kernel equivalents,3161086.38,3168.465
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,BALTIMAR S A R L,BALTIMAR S A R L,MOROCCO,MOROCCO,Palm kernel equivalents,485406.66,507.217
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL AMERICAS INC,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,806063.31,1095.33
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL AMERICAS INC,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1983188.44,2563.673
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL AMERICAS INC,CARGILL,UNITED KINGDOM,EUROPEAN UNION,Palm kernel equivalents,416291.25,517.132
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,9740438.69,12082.896
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,8424941.82,6842.458
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,20957018.65,24716.534
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,10614758.88,9776.369
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1652584.15,1501.076
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,3124522.94,4016.547
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,8886473.25,8129.906
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,2183589.59,2262.043
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,3251839,2953.643
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,6813510.62,5870.931
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,EMC2 SRL-ADMNISTRATIVE OFFICE,EMC2 SRL-ADMNISTRATIVE OFFICE,ITALY,EUROPEAN UNION,Palm kernel equivalents,910791.06,981.985
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,GOLDEN AGRI INTL PTE LTD,GOLDEN AGRI INTL PTE LTD,ITALY,EUROPEAN UNION,Palm kernel equivalents,1054317,1012.245
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,1838764.75,2262.287
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,5026139.69,4055.374
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,7506818.43,5927.547
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,IOI LODERS CROKLAAN OILS SDN BHD,IOI LODERS CROKLAAN OILS SDN BHD,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1373330,1000
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,KLK EMMERICH GMBH,KLK EMMERICH GMBH,GERMANY,EUROPEAN UNION,Palm kernel equivalents,1022170,1022.17
2014,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,KLK EMMERICH GMBH,KLK EMMERICH GMBH,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,721726.12,713.57
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,LIPIDOS SANTIGA S A,LIPIDOS SANTIGA S A,SPAIN,EUROPEAN UNION,Palm kernel equivalents,468842.09,593.471
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,OLENEX SARL,OLENEX SARL,GERMANY,EUROPEAN UNION,Palm kernel equivalents,1242785.75,1000.23
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,OLENEX S A R L,OLENEX S A R L,GERMANY,EUROPEAN UNION,Palm kernel equivalents,1241349.31,1000.001
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,OLENEX SARL,OLENEX SARL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,2298749,2007.641
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,OLENEX S A R L,OLENEX S A R L,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1380106.31,999.041
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,OLISPED S R L,OLISPED S R L,ITALY,EUROPEAN UNION,Palm kernel equivalents,838707.5,1007.154
2013,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,79303.43,102.718
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,539113.83,544.408
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,532642.59,400
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,698308.5,412.5
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,GERMANY,EUROPEAN UNION,Palm kernel equivalents,476853,498.279
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,GERMANY,EUROPEAN UNION,Palm kernel equivalents,3546404.93,3486.987
2016,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,367931.19,297.92
2017,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,650167.69,500.129
2018,COLOMBIA,ADUANAS DE BARRANQUI,C I BIOCOSTA S A,C I BIOCOSTA S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1968630.5,1738.213
2015,COLOMBIA,ADUANAS DE BARRANQUI,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,DAABON ORGANIC AUSTRALIA PTY LTD,DAABON ORGANIC AUSTRALIA PTY LTD,AUSTRALIA,AUSTRALIA,Palm kernel equivalents,1822.5,0.405
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,ALMAD AGROINDUSTRIAL LTDA,ALMAD AGROINDUSTRIAL LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,95190.32,85.2
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,ALMAD AGROINDUSTRIAL LTDA,ALMAD AGROINDUSTRIA LTD,BRAZIL,BRAZIL,Palm kernel equivalents,43728.06,39.69
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,AVEX SA,AVEX S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,1024442.05,919.36
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,BUNGE ARGENTINA SA,BUNGE,ARGENTINA,ARGENTINA,Palm kernel equivalents,128503.21,101.906
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,BUNGE ARGENTINA SA,BUNGE,ARGENTINA,ARGENTINA,Palm kernel equivalents,180074.98,99.65
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,CIA ARGENTINA DE LEVADURAS S A,CIA ARGENTINA DE LEVADURAS S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,685699.65,622.03
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,296894.55,238.31
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,115548.2,86.23
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,204497.7,168.76
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,57894.95,43.33
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,MAIAN IMP E EXP DE PRODS QUIMICOS LTD,MAIAN IMP E EXP DE PRODS QUIMICOS LTD,BRAZIL,BRAZIL,Palm kernel equivalents,24579.78,21.59
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,MAIAN IMPORTACAO E EXPORTACAO DE PRODUTOS QUIMICOS LTDA,MAIAN IMPORTACAO E EXPORTACAO DE PRODUTOS QUIMICOS LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,29540.37,21.49
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,MAIAN IMPORTACION E EXPORTACION DE PRODUTOS QUIMICOS LTDA,MAIAN IMPORTACION E EXPORTACION DE PRODUTOS QUIMICOS LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,30875.6,21.48
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,M DIAS BRANCO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA DIV GME,M DIAS BRANCO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA DIV GME,BRAZIL,BRAZIL,Palm kernel equivalents,150759.25,107.54
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,MIGUEL MARITANO IND DE JABONES S A,MIGUEL MARITANO IND DE JABONES S A,CHILE,CHILE,Palm kernel equivalents,116956.2,86.3
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,MIGUEL MARITANO IND DE JABONES S A,MIGUEL MARITANO IND DE JABONES S A,CHILE,CHILE,Palm kernel equivalents,75998.03,63.86
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,OLFAR S A ALIMENTO E ENERGIA,OLFAR S A ALIMENTO E ENERGIA,BRAZIL,BRAZIL,Palm kernel equivalents,231915.81,212.64
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,QUIMICA AMPARO LTDA,QUIMICA AMPARO LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,1585433.98,1381.49
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,QUIMICA AMPARO LTD,QUIMICA AMPARO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,1531244.28,1452.27
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,RAZZO LTD,RAZZO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,352555.57,340.69
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,RAZZO LTD,RAZZO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,486247.39,396.42
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,REFINERIA DE GRASAS SUDAMERICANA S A,REFINERIA DE GRASAS SUDAMERICANA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,195878.3,172.58
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,REFINERIA DEL CENTRO SA,REFINERIA DEL CENTRO SA,ARGENTINA,ARGENTINA,Palm kernel equivalents,565460.09,387.59
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,REFINERIA DEL CENTRO S A,REFINERIA DEL CENTRO S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,596484.75,532.97
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,REFINERIAS DE GRASAS SUDAMERICANA S A,REFINERIAS DE GRASAS SUDAMERICANA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,405508.86,365.71
2017,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,RIS S A,RIS S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,29534.6,21.54
2018,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,WATT S S A,WATT S S A,CHILE,CHILE,Palm kernel equivalents,43932.46,42.75
2015,COLOMBIA,ADUANAS DE BARRANQUI,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,ESPALSA S A,ESPALSA S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm kernel equivalents,22375.76,13.598
2017,COLOMBIA,ADUANAS DE BARRANQUI,INDUSTRIAL AGRARIA LA PALMA LTDA INDUPALMA LTDA,INDUSTRIAL AGRARIA LA PALMA LTDA INDUPALMA LTDA,QUIMICA AMPARO LTDA,QUIMICA AMPARO LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,551446.87,312.08
2016,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,632297,501.823
2018,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,ADM AMERICAS S DE R L,ADM,GERMANY,EUROPEAN UNION,Palm kernel equivalents,667523.56,509.016
2016,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,385602.56,301.252
2016,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,1175427.5,913.417
2016,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,227154.05,158.809
