YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,PALM_KERNEL_EQUIVALENT_TONNES
2017,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,463688.72,271.163
2016,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,290627.69,203.185
2017,COLOMBIA,ADUANAS DE BARRANQUI,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,335409.75,206.406
2013,COLOMBIA,ADUANAS DE BARRANQUI,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,958766,1001.5
2013,COLOMBIA,ADUANAS DE BARRANQUI,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,FABRICA DE JABON LA CORONA S A DE C V,FABRICA DE JABON LA CORONA S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,86753.24,90.62
2015,COLOMBIA,ADUANAS DE BARRANQUI,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,IOI LODERS CROKLAAN OILS SDN BHD,IOI LODERS CROKLAAN OILS SDN BHD,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,959028.06,1051.174
2014,COLOMBIA,ADUANAS DE BARRANQUI,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,KLK EMMERICH GMBH,KLK EMMERICH GMBH,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,636096.06,641.2
2015,COLOMBIA,ADUANAS DE BARRANQUI,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,KLK EMMERICH GMBH,KLK EMMERICH GMBH,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,889636.81,1003.38
2015,COLOMBIA,ADUANAS DE BARRANQUI,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,LIPIDOS SANTIGA S A,LIPIDOS SANTIGA S A,SPAIN,EUROPEAN UNION,Palm kernel equivalents,242694.06,256.849
2015,COLOMBIA,ADUANAS DE BARRANQUI,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SIME DARBY UNIMILLS B V,SIME DARBY UNIMILLS B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1499749.69,2001.511
2013,COLOMBIA,ADUANAS DE BARRANQUI,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,THIN OIL PRODUCTS L L C,THIN OIL PRODUCTS L L C,BRAZIL,BRAZIL,Palm kernel equivalents,802141.19,954.93
2013,COLOMBIA,ADUANAS DE BARRANQUI,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,UNILEVER BRASIL INDUSTRIAL,UNILEVER,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Palm kernel equivalents,356756.35,269.97
2014,COLOMBIA,ADUANAS DE BARRANQUI,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,UNILEVER BRASIL INDUSTRIAL,UNILEVER,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Palm kernel equivalents,683115.18,414.12
2015,COLOMBIA,ADUANAS DE BARRANQUI,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,UNILEVER BRASIL INDUSTRIAL,UNILEVER,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Palm kernel equivalents,431704.6,299.47
2016,COLOMBIA,ADUANAS DE BARRANQUI,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,UNILEVER BRASIL INDUSTRIAL,UNILEVER,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Palm kernel equivalents,138039.92,106.49
2017,COLOMBIA,ADUANAS DE BARRANQUI,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,UNILEVER CARIBE S A,UNILEVER CARIBE S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm kernel equivalents,35940.32,21.58
2018,COLOMBIA,ADUANAS DE BARRANQUI,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,UNILEVER CARIBE S A,UNILEVER CARIBE S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm kernel equivalents,108764.8,60.35
2013,COLOMBIA,BOGOTA,BEL-STAR S A,BEL-STAR S A,CETCO S A,CETCO S A,PERU,PERU,Palm kernel equivalents,139.72,0.0303
2014,COLOMBIA,BOGOTA,BEL-STAR S A,BEL-STAR S A,CETCO S A,CETCO S A,PERU,PERU,Palm kernel equivalents,80.84,0.007
2015,COLOMBIA,BOGOTA,BEL-STAR S A,BEL-STAR S A,CETCO S A,CETCO S A,PERU,PERU,Palm kernel equivalents,30.57,0.0058
2018,COLOMBIA,BOGOTA,GREEN ANDINA COLOMBIA LTDA,GREEN ANDINA COLOMBIA LTDA,BOTANIKA LIVING INC,BOTANIKA LIVING INC,CANADA,CANADA,Palm kernel equivalents,20.1,0.005
2014,COLOMBIA,BOGOTA,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,PRODUCTOS ALIMENTICIOS PASCUAL S A,PRODUCTOS ALIMENTICIOS PASCUAL S A,PANAMA,PANAMA,Palm kernel equivalents,22,0.396
2015,COLOMBIA,BUENAVENTURA,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,CIA INTL DE ALIMENTOS S A,CIA INTL DE ALIMENTOS S A,BOLIVIA,BOLIVIA,Palm kernel equivalents,14148.38,7.9
2014,COLOMBIA,BUENAVENTURA,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,TEAM FOODS CHILE S A,TEAM FOODS CHILE S A,CHILE,CHILE,Palm kernel equivalents,381152.92,253.56
2015,COLOMBIA,BUENAVENTURA,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,TEAM FOODS CHILE S A,TEAM FOODS CHILE S A,CHILE,CHILE,Palm kernel equivalents,360836.62,306.47065
2013,COLOMBIA,BUENAVENTURA,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,1124771.34,1078.75
2014,COLOMBIA,BUENAVENTURA,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,1534248.15,1244.63
2018,COLOMBIA,ESPECIAL DE CARTAGENA,C I ACEPALMA S A,C I ACEPALMA S A,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,23641.89,21.83
2015,COLOMBIA,ESPECIAL DE CARTAGENA,C I ACEPALMA S A,C I ACEPALMA S A,M DIAS BRANCO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA DIV GME,M DIAS BRANCO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA DIV GME,BRAZIL,BRAZIL,Palm kernel equivalents,55490.18,59.475
2017,COLOMBIA,ESPECIAL DE CARTAGENA,GRASAS Y ACEITES VEGETALES LTDA,GRASAS Y ACEITES VEGETALES LTDA,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,56142.54,43.93
2015,COLOMBIA,ESPECIAL DE CARTAGENA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,21641.76,21.47
2018,COLOMBIA,ESPECIAL DE CARTAGENA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,46781.54,43.41
2014,COLOMBIA,ESPECIAL DE CARTAGENA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,45074.1,43.31
2015,COLOMBIA,ESPECIAL DE CARTAGENA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,RAZZO LTD,RAZZO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,135255.09,131.8
2015,COLOMBIA,ESPECIAL DE CARTAGENA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATTS S A,WATTS S A,CHILE,CHILE,Palm kernel equivalents,195252.09,173.37
2014,COLOMBIA,ESPECIAL DE CARTAGENA,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,TEAM FOODS MEXICO SA,TEAM FOODS MEXICO SA,MEXICO,MEXICO,Palm kernel equivalents,238293.57,136.07
2013,COLOMBIA,ESPECIAL DE CARTAGENA,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,UNILEVER BRASIL INDUSTRIAL,UNILEVER,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Palm kernel equivalents,25417.03,20.41
2016,COLOMBIA,IPIALES,AZUL K S A,AZUL K S A,SAN DANIEL EXTRACTORA SAN DANIEL CIA LTDA,SAN DANIEL EXTRACTORA SAN DANIEL CIA LTDA,ECUADOR,ECUADOR,Palm kernel equivalents,45000,30
2018,COLOMBIA,IPIALES,C I PRODMERCAR LTDA,C I PRODMERCAR LTDA,EXP IMP AYLEN E I R L,EXP IMP AYLEN E I R L,ECUADOR,ECUADOR,Palm kernel equivalents,104000,64
2017,COLOMBIA,IPIALES,HADA S A,HADA S A,SAN DANIEL EXTRACTORA SAN DANIEL CIA LTDA,SAN DANIEL EXTRACTORA SAN DANIEL CIA LTDA,ECUADOR,ECUADOR,Palm kernel equivalents,37327.5,30
2017,COLOMBIA,IPIALES,TEAM FOODS COLOMBIA S A,TEAM FOODS COLOMBIA S A,CIALZ INTL CIECOPALMA S A,CIALZ INTL CIECOPALMA S A,ECUADOR,ECUADOR,Palm kernel equivalents,42590.39,29.93
2016,COLOMBIA,SANTA MARTA,AGROPECUARIA SANTAMARIA S A,AGROPECUARIA SANTAMARIA S A,CARGILL AGRICOLA SA,CARGILL,BRAZIL,BRAZIL,Palm kernel equivalents,152943.36,111.255
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,AARHUSKARLSHAMN,AARHUSKARLSHAMN,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1597379.12,1150.021
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ACEITERA GENERAL DEHEZA SA.,ACEITERA GENERAL DEHEZA SA.,ARGENTINA,ARGENTINA,Palm kernel equivalents,20751.48,21.24
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ACEITERA GENERAL DEHEZA SA.,ACEITERA GENERAL DEHEZA SA.,ARGENTINA,ARGENTINA,Palm kernel equivalents,63524.33,63.95
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ACEITERA GENERAL DEHEZA SA.,ACEITERA GENERAL DEHEZA SA.,ARGENTINA,ARGENTINA,Palm kernel equivalents,47308.86,43.03
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ACEITERA GRAL DEHEZA S A,ACEITERA GRAL DEHEZA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,269532.58,234.86
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ALICORP ARGENTINA S C A,ALICORP ARGENTINA S C A,ARGENTINA,ARGENTINA,Palm kernel equivalents,237417.6,230.63
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ALICORP ARGENTINA S C A,ALICORP ARGENTINA S C A,ARGENTINA,ARGENTINA,Palm kernel equivalents,829273.39,659.37
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ALICORP ARGENTINA S C A,ALICORP ARGENTINA S C A,ARGENTINA,ARGENTINA,Palm kernel equivalents,889993.19,697.755
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ALMAD AGROINDUSTRIAL LTDA,ALMAD AGROINDUSTRIAL LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,101307.52,88.375
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ALMAD AGROINDUSTRIAL LTDA,ALMAD AGROINDUSTRIA LTD,BRAZIL,BRAZIL,Palm kernel equivalents,27121.04,18.73
2013,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,2769289.66,3351.751
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,11730484.25,10969.362
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,8991091.87,10109.069
2016,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,22633687.14,20903.291
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,22435774.54,17297.863
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,19004743.46,16680.343
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL DE MEXICO S A DE C V,CARGILL,MEXICO,MEXICO,Palm kernel equivalents,387588.4,334.25
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL REFINED OILS EUROPE B V,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,406059.78,406.568
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CIA ARGENTINA DE LEVADURAS S A,CIA ARGENTINA DE LEVADURAS S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,1005622.01,1135.555
2016,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CIA ARGENTINA DE LEVADURAS S A,CIA ARGENTINA DE LEVADURAS S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,1413591.22,1004.99
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CIA ARGENTINA DE LEVADURAS S A,CIA ARGENTINA DE LEVADURAS S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,1624381.14,1161.22
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CIA ARGENTINA DE LEVADURAS S A I C,CIA ARGENTINA DE LEVADURAS S A I C,ARGENTINA,ARGENTINA,Palm kernel equivalents,466939.12,410.92
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,96098.91,83.76
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,198133.91,191.805
2016,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,289192.43,235.565
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,235192.36,188.01
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,48616.8,43.1
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,COMPANIA ARGENTINA DE LEVADURAS S A I C,COMPANIA ARGENTINA DE LEVADURAS S A I C,ARGENTINA,ARGENTINA,Palm kernel equivalents,336848.72,307.89
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,BRAZIL,BRAZIL,Palm kernel equivalents,2188431.61,1815.508
2013,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,MEXICO,MEXICO,Palm kernel equivalents,3904718.1,4839.952
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,MEXICO,MEXICO,Palm kernel equivalents,4507420.62,3859.096
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,MEXICO,MEXICO,Palm kernel equivalents,2799590.74,2884.651
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,MEXICO,MEXICO,Palm kernel equivalents,131007.86,100.006
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1740548.12,1530.129
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ECUAQUIMICA C A,ECUAQUIMICA C A,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,6970610.57,6588.955
2016,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,185793.83,126.7
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,875274.13,663.885
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,909317.8,802.82
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,ICOFORT   AGROINDUSTRIAL LTDA,ICOFORT   AGROINDUSTRIAL LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,28768.5,21.31
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,IND DE PRODS ALIMENTICIOS PIRAQUE S A,IND DE PRODS ALIMENTICIOS PIRAQUE S A,BRAZIL,BRAZIL,Palm kernel equivalents,40607.71,42.79
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,IND QUIMICA DEL CENTRO S A DE C V,IND QUIMICA DEL CENTRO S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,246146.73,204.63
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,IND QUIMICA DEL CENTRO S A DE C V,IND QUIMICA DEL CENTRO S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,601143.38,618.61
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,INDS XHARA LTD,INDS XHARA LTD,BRAZIL,BRAZIL,Palm kernel equivalents,2748311.13,3249.991
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,1853353.5,2000.252
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,INDUSTRIA QUIMICA ANASTACIO S A,INDUSTRIA QUIMICA ANASTACIO S A,BRAZIL,BRAZIL,Palm kernel equivalents,61607.58,63.38
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,IOI LODERS CROKLAAN OILS SDN BHD,IOI LODERS CROKLAAN OILS SDN BHD,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,3535005.44,4416.257
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,243937.02,209.665
2015,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,250937.19,274.715
2017,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,227305.2,172.25
2018,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,264722.47,208.335
2013,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,LA FABRIL C POR A,LA FABRIL C POR A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm kernel equivalents,206248.02,250.91
2014,COLOMBIA,SANTA MARTA,C I ACEPALMA S A,C I ACEPALMA S A,LA FABRIL C POR A,LA FABRIL C POR A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm kernel equivalents,748173.59,655.009
