YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,PALM_KERNEL_EQUIVALENT_TONNES
2017,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,CANADA,CANADA,Palm kernel equivalents,17442,8.1
2018,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,CANADA,CANADA,Palm kernel equivalents,7236,2.7
2017,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,GERMANY,EUROPEAN UNION,Palm kernel equivalents,21.15,0.015
2016,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,ISRAEL,ISRAEL,Palm kernel equivalents,1522.8,1.08
2017,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,ISRAEL,ISRAEL,Palm kernel equivalents,761.4,0.54
2018,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,ISRAEL,ISRAEL,Palm kernel equivalents,1522.8,1.08
2017,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,JAPAN,JAPAN,Palm kernel equivalents,214.5,0.15
2016,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,994104.5,1004.35
2017,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,3063968.49,3134.831
2018,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,7335.9,5.13
2016,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,UNITED STATES,UNITED STATES,Palm kernel equivalents,1016845.52,599.632
2017,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,UNITED STATES,UNITED STATES,Palm kernel equivalents,1411384.3,838.39
2018,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,UNITED STATES,UNITED STATES,Palm kernel equivalents,805721.3,457.61
2018,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,PASTERNAK BAUM AND CO INC,PASTERNAK BAUM AND CO INC,BRAZIL,BRAZIL,Palm kernel equivalents,369304.84,314.302
2016,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,PASTERNAK BAUM Y CO INC,PASTERNAK BAUM Y CO INC,ARGENTINA,ARGENTINA,Palm kernel equivalents,371518.75,293.69
2014,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,PASTERNAK BAUM Y CO INC,PASTERNAK BAUM Y CO INC,MEXICO,MEXICO,Palm kernel equivalents,759743.69,583.668
2014,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,PASTERNAK BAUM Y CO INC,PASTERNAK BAUM Y CO INC,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,455396.09,493.28
2015,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,PASTERNAK BAUM Y CO INC,PASTERNAK BAUM Y CO INC,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,462244.53,500.909
2017,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,PASTERNAK BAUM Y CO INC,PASTERNAK BAUM Y CO INC,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1184250.88,901.119
2018,COLOMBIA,SANTA MARTA,C I TEQUENDAMA S A S,C I TEQUENDAMA S A S,QUIMICA AMPARO LTD,QUIMICA AMPARO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,79834.3,87.73
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ACEITERA GENERAL DEHEZA SA.,ACEITERA GENERAL DEHEZA SA.,ARGENTINA,ARGENTINA,Palm kernel equivalents,21743.25,21.14
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ALMAD AGROINDUSTRIAL LTDA,ALMAD AGROINDUSTRIA LTD,BRAZIL,BRAZIL,Palm kernel equivalents,211182.82,176.6
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,AVEX SA,AVEX S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,19264.36,21.88
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,AVEX SA,AVEX S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,1613871.02,1370.28
2017,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,AVEX SA,AVEX S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,1323514.57,839.05
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,AVEX SA,AVEX S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,1909973.56,1588.84
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,AVEX SA,AVEX S A,CHILE,CHILE,Palm kernel equivalents,361231.74,260.64
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CAMILO FERRON CHILE S A,CAMILO FERRON CHILE S A,CHILE,CHILE,Palm kernel equivalents,241512.21,213.13
2017,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CAMILO FERRON CHILE S A,CAMILO FERRON CHILE S A,CHILE,CHILE,Palm kernel equivalents,2650338.73,1903.025
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CAMILO FERRON CHILE S A,CAMILO FERRON CHILE S A,CHILE,CHILE,Palm kernel equivalents,655369.58,456.425
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CARGILL BV,CARGILL,GERMANY,EUROPEAN UNION,Palm kernel equivalents,658550.5,509.714
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CIA ARGENTINA DE LEVADURAS S A,CIA ARGENTINA DE LEVADURAS S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,397367.29,511.545
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CIA ARGENTINA DE LEVADURAS S A,CIA ARGENTINA DE LEVADURAS S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,359969.29,322.34
2013,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,43956.21,43.521
2014,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,179503.16,127.05
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,205453,219.395
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,275320.77,196.37
2017,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,430121.54,282.88
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CLARIANT ARGENTINA S A,CLARIANT ARGENTINA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,93889.9,88.35
2013,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,81454.66,83.117
2014,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,222146.82,190.178
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,161849.78,171.341
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,89948.26,66.06
2017,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,366541.22,280.67
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ENZUR S A,ENZUR S A,URUGUAY,URUGUAY,Palm kernel equivalents,557459.89,560.67
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,ESPALSA S A,ESPALSA S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm kernel equivalents,21488.78,21.47
2017,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,INDIOQUIMICA S A,INDIOQUIMICA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,41613.8,30.688
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,INDIOQUIMICA S A,INDIOQUIMICA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,34171.18,30
2013,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,304288.41,306.977
2014,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,170985.4,127.74
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,308586.34,304.145
2017,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,JOSE GUMA S A,JOSE GUMA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,85357.8,44.08
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,MAIAN IMP E EXP DE PRODS QUIMICOS LTD,MAIAN IMP E EXP DE PRODS QUIMICOS LTD,BRAZIL,BRAZIL,Palm kernel equivalents,43993.4,43.39
2014,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,MEMPHIS S P A,MEMPHIS S P A,BRAZIL,BRAZIL,Palm kernel equivalents,87745.2,81.868
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,MEMPHIS S P A,MEMPHIS S P A,BRAZIL,BRAZIL,Palm kernel equivalents,31448.36,42.15
2014,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,MIGUEL MARITANO IND DE JABONES S A,MIGUEL MARITANO IND DE JABONES S A,CHILE,CHILE,Palm kernel equivalents,78273.99,62.786
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,MIGUEL MARITANO IND DE JABONES S A,MIGUEL MARITANO IND DE JABONES S A,CHILE,CHILE,Palm kernel equivalents,45257.99,41.27
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,MIGUEL MARITANO IND DE JABONES S A,MIGUEL MARITANO IND DE JABONES S A,CHILE,CHILE,Palm kernel equivalents,42004.92,42.13
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,QUALICOCO LTD,QUALICOCO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,17756,15
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,QUIMICA AMPARO LTD,QUIMICA AMPARO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,456362.59,470.63
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,QUIMICA RHENIUM S A,QUIMICA RHENIUM S A,CHILE,CHILE,Palm kernel equivalents,22852.15,21.61
2013,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,RAZZO LTD,RAZZO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,1297352.11,1355.01
2014,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,RAZZO LTD,RAZZO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,758672.66,643.07
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,RAZZO LTD,RAZZO LTD,BRAZIL,BRAZIL,Palm kernel equivalents,205098.62,218.76
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,RAZZO LTD,RAZZO LTD,CHILE,CHILE,Palm kernel equivalents,129074.25,129.758
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,REFINERIA DE GRASAS SUDAMERICANA S A,REFINERIA DE GRASAS SUDAMERICANA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,97115.35,124.27
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,REFINERIA DE GRASAS SUDAMERICANA S A,REFINERIA DE GRASAS SUDAMERICANA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,428795.14,324.29
2017,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,REFINERIA DE GRASAS SUDAMERICANA S A,REFINERIA DE GRASAS SUDAMERICANA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,206505.56,173.11
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,REFINERIA DE GRASAS SUDAMERICANA S A,REFINERIA DE GRASAS SUDAMERICANA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,151772.14,129.65
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,REFINERIAS DE GRASAS SUDAMERICANA S A,REFINERIAS DE GRASAS SUDAMERICANA S A,ARGENTINA,ARGENTINA,Palm kernel equivalents,128540.04,147.34
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,SULFAQUIM S R L,SULFAQUIM S R L,URUGUAY,URUGUAY,Palm kernel equivalents,18437,16.95
2013,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,TRIANGULO ALIMENTOS LTDA,TRIANGULO ALIMENTOS LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,943100.47,1039.24
2014,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,TRIANGULO ALIMENTOS LTDA,TRIANGULO ALIMENTOS LTDA,BRAZIL,BRAZIL,Palm kernel equivalents,953262.37,743.08
2013,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATTS S A,WATTS S A,CHILE,CHILE,Palm kernel equivalents,2076264.69,2112.05
2014,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATTS S A,WATTS S A,CHILE,CHILE,Palm kernel equivalents,4176910.1,3340.256
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATTS S A,WATTS S A,CHILE,CHILE,Palm kernel equivalents,3209799.34,3037.82
2016,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATTS S A,WATTS S A,CHILE,CHILE,Palm kernel equivalents,811324.7,575.865
2017,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATTS S A,WATTS S A,CHILE,CHILE,Palm kernel equivalents,1803405.54,1228.29
2018,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATT S S A,WATT S S A,CHILE,CHILE,Palm kernel equivalents,739255.06,540.35
2015,COLOMBIA,SANTA MARTA,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,WATT S,WATT S,CHILE,CHILE,Palm kernel equivalents,62589.04,63.655
2016,COLOMBIA,SANTA MARTA,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUTRADE SOCIEDAD DE COMERCIALIZACION INTERNACIONAL S A S,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm kernel equivalents,387591.12,487.536
2016,COLOMBIA,SANTA MARTA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,INTER-CONTINENTAL OILS & FATS PTE LTD,INTER-CONTINENTAL OILS & FATS PTE LTD,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,955481.59,999.186
2014,COLOMBIA,SANTA MARTA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,KLK EMMERICH GMBH,KLK EMMERICH GMBH,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1209838.12,1007.359
2016,COLOMBIA,SANTA MARTA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,KLK EMMERICH GMBH,KLK EMMERICH GMBH,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,1027801.69,1000.06
2015,COLOMBIA,SANTA MARTA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,LIPIDOS SANTIGA S A,LIPIDOS SANTIGA S A,SPAIN,EUROPEAN UNION,Palm kernel equivalents,378996.62,407.44
2016,COLOMBIA,SANTA MARTA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,LIPIDOS SANTIGA S A,LIPIDOS SANTIGA S A,SPAIN,EUROPEAN UNION,Palm kernel equivalents,2554245.5,2630.09
2016,COLOMBIA,SANTA MARTA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SIME DARBY UNIMILLS B V,SIME DARBY UNIMILLS B V,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,865795.75,1000.307
2017,COLOMBIA,TUMACO,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,E M C CORP,E M C CORP,ITALY,EUROPEAN UNION,Palm kernel equivalents,133965.59,80.22
2014,COLOMBIA,TUMACO,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,KLK EMMERICH GMBH,KLK EMMERICH GMBH,NETHERLANDS,EUROPEAN UNION,Palm kernel equivalents,100491.26,97.093
2017,COLOMBIA,TUMACO,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,LIPIDOS DE SANTIGA SA,LIPIDOS DE SANTIGA SA,SPAIN,EUROPEAN UNION,Palm kernel equivalents,144365,111.05
2015,COLOMBIA,TUMACO,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,LIPIDOS SANTIGA S A,LIPIDOS SANTIGA S A,SPAIN,EUROPEAN UNION,Palm kernel equivalents,355209.92,379.075
2016,COLOMBIA,TUMACO,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,LIPIDOS SANTIGA S A,LIPIDOS SANTIGA S A,SPAIN,EUROPEAN UNION,Palm kernel equivalents,427699.2,375.36
2017,COLOMBIA,TUMACO,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,SOC DE COMERCIALIZACION INTERNACIONAL MIRA LTDA,LOUIS DREYFUS COMMODITIES ESPANA SA,LOUIS DREYFUS,SPAIN,EUROPEAN UNION,Palm kernel equivalents,127099.1,132.81
2018,COLOMBIA,TUMACO,SOC DE COMERCIALIZACION INTL MIRA LTDA,SOC DE COMERCIALIZACION INTL MIRA LTDA,LES HUILERIES DU SOUSS BELHASSAN,LES HUILERIES DU SOUSS BELHASSAN,MOROCCO,MOROCCO,Palm kernel equivalents,145483.14,200.39
2018,COLOMBIA,TUMACO,SOC DE COMERCIALIZACION INTL MIRA LTDA,SOC DE COMERCIALIZACION INTL MIRA LTDA,LIPIDOS SANTIGA S A,LIPIDOS SANTIGA S A,SPAIN,EUROPEAN UNION,Palm kernel equivalents,425864.69,443.17
